CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
1,1,0.0133772,1.0442e-05,0.0270582,0.244345,0.00620732,0.277623
1,2,0.01322,1.77529e-05,0.0263222,0.231293,0.0061697,0.263805
1,4,0.0133116,4.06653e-05,0.0266224,0.219954,0.00627712,0.252896
1,8,0.0133221,6.87828e-05,0.0266516,0.20865,0.00630375,0.241676
1,10,0.0132293,8.63029e-05,0.0267294,0.205654,0.00634416,0.238818
1,16,0.0134366,0.000122037,0.0271005,0.196988,0.00620901,0.230421
1,20,0.0131973,0.000165894,0.0273369,0.193877,0.00618222,0.227565
1,30,0.0132587,0.00021969,0.0273599,0.18672,0.00622216,0.220524
1,40,0.0132215,0.000296398,0.0275108,0.182109,0.00633829,0.216256
2,1,0.00687853,2.63005e-05,0.0760486,0.117107,0.00341899,0.196604
2,2,0.00736931,3.43686e-05,0.0938561,0.110785,0.00325508,0.207932
2,4,0.0073473,6.77276e-05,0.0661457,0.10464,0.00394523,0.1748
2,8,0.00742226,0.000132798,0.116851,0.0986354,0.00315484,0.218776
2,10,0.00736969,0.000552371,0.134181,0.0968345,0.0036479,0.235219
2,16,0.0069142,0.00048304,0.102731,0.0929207,0.00359663,0.199733
2,20,0.00735162,0.000290902,0.114274,0.091171,0.0038309,0.209569
2,30,0.00659459,0.000437097,0.113228,0.087775,0.0037668,0.205209
2,40,0.00771646,0.00061094,0.102387,0.085233,0.00313257,0.191366
3,1,0.00499707,3.06023e-05,0.135406,0.0754114,0.00308063,0.213932
3,2,0.00526559,5.50449e-05,0.141097,0.0715608,0.00256153,0.215277
3,4,0.00492418,9.97642e-05,0.15773,0.067729,0.00249812,0.22806
3,8,0.00490868,0.000207772,0.13365,0.0640256,0.00259057,0.200477
3,10,0.00495835,0.000223058,0.15585,0.0627277,0.00251343,0.221317
3,16,0.00499968,0.000336061,0.162178,0.0599587,0.00261303,0.225089
3,20,0.00490955,0.000450208,0.156323,0.0588954,0.00260824,0.218279
3,30,0.00501589,0.000672838,0.129193,0.0565653,0.00277678,0.18921
3,40,0.00502293,0.000869405,0.157892,0.055007,0.00283624,0.216607
4,1,0.00396459,3.81544e-05,0.173657,0.0479661,0.00189871,0.223562
4,2,0.00325099,5.64512e-05,0.162993,0.0454656,0.00186819,0.210385
4,4,0.00338801,0.000118682,0.158416,0.0430417,0.00230617,0.203884
4,8,0.00330223,0.000207601,0.157274,0.0404932,0.00170729,0.199684
4,10,0.00331596,0.000267027,0.157896,0.0395734,0.00177798,0.199516
4,16,0.00329441,0.000414356,0.136967,0.0379643,0.00168993,0.177038
4,20,0.00358715,0.000510273,0.159662,0.0371433,0.00209361,0.199411
4,30,0.00332925,0.000794833,0.135287,0.0356569,0.00175567,0.173496
4,40,0.00355919,0.00104602,0.160165,0.0345768,0.00166951,0.19746
