mode,CPU,size,time,pi
scale,1,7,9.10637497902,3.1421468
scale,2,7,12.7842819691,3.1410452
scale,3,7,12.551913023,3.14185666667
scale,4,7,12.7403059006,3.1415729
scale,5,7,12.9131889343,3.1417116
scale,6,7,13.0715332031,3.14188613333
scale,7,7,13.5530180931,3.14159194286
scale,8,7,13.9998641014,3.1414051
scale,9,7,13.9786810875,3.14146506667
scale,10,7,14.1631848812,3.14126788
scale,11,7,14.6673600674,3.14147345455
scale,12,7,14.6120238304,3.14174166667
scale,1,8,89.0211939812,3.14144844
scale,2,8,126.720956802,3.14144878
scale,3,8,125.378521919,3.14157192
scale,4,8,132.796642065,3.14171703
scale,5,8,132.227343082,3.141605512
scale,6,8,134.081034899,3.14158374
scale,7,8,134.18490696,3.14164962857
scale,8,8,132.573673964,3.14159537
scale,9,8,133.084951162,3.14165584
scale,10,8,140.038502932,3.141579908
scale,11,8,143.079813957,3.14156352727
scale,12,8,141.181181908,3.14162450333
